source,source_path,h,snr_db,post_fec_errors,total_bits,post_fec_ber,zero_error_95_upper_approx,measurement_blocks,total_blocks,elapsed_sec,stop_reason,accepted_for_h_selection,notes
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_low_h\h12\20260628_0040\fig3_baseline.csv,12,14.1,236,32768,0.0072021484375,,8,128,4.119351499946788,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_low_h\h12\20260628_0040\fig3_baseline.csv,12,14.2,221,32768,0.006744384765625,,8,128,4.263146299985237,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_low_h\h14\20260628_0040\fig3_baseline.csv,14,13.85,155,16384,0.00946044921875,,4,144,5.382411199971102,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_low_h\h14\20260628_0040\fig3_baseline.csv,14,13.9,151,16384,0.00921630859375,,4,144,5.391540099983104,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_low_h\h14\20260628_0040\fig3_baseline.csv,14,13.95,141,16384,0.00860595703125,,4,144,5.352090899948962,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_low_h\h14\20260628_0040\fig3_baseline.csv,14,14.0,144,16384,0.0087890625,,4,144,5.251225799904205,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_mid_h\h15\20260628_0040\fig3_baseline.csv,15,13.85,361,40960,0.0088134765625,,10,160,6.200918399961665,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_mid_h\h15\20260628_0040\fig3_baseline.csv,15,13.9,344,40960,0.0083984375,,10,160,6.249118099920452,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_mid_h\h15\20260628_0040\fig3_baseline.csv,15,13.95,333,40960,0.0081298828125,,10,160,6.400618799962103,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_mid_h\h15\20260628_0040\fig3_baseline.csv,15,14.0,300,40960,0.00732421875,,10,160,6.181748800096102,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_mid_h\h16\20260628_0040\fig3_baseline.csv,16,13.85,481,65536,0.0073394775390625,,16,176,6.199147300096229,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_mid_h\h16\20260628_0040\fig3_baseline.csv,16,13.9,449,65536,0.0068511962890625,,16,176,6.346219699946232,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_mid_h\h16\20260628_0040\fig3_baseline.csv,16,13.95,437,65536,0.0066680908203125,,16,176,6.589473300031386,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_mid_h\h16\20260628_0040\fig3_baseline.csv,16,14.0,390,65536,0.005950927734375,,16,176,6.411121999961324,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
